Publishers,Game,Metascore
Maschinen-Mensch,Gamedec,74.0
MinMax Games Ltd.,Space Run,74.0
Activision,VR The Diner Duo,74.0
Maschinen-Mensch,Gaokao.Love.100Days,74.0
Wired Productions,FourChords Guitar Karaoke,74.0
Microids,Power & Revolution 2020 Edition,74.0
Wolfire Games,Revenge of the Titans,74.0
Another Axiom,Hammerfight,74.0
XD,Kingdoms CCG,74.0
Perfect World Entertainment,Darksiders,74.0
Armor Games Studios,System Shock: Enhanced Edition,74.0
AlphaSoft LLC,Weapons Genius,74.0
Warner Bros. Interactive Entertainment,Ori and the Blind Forest: Definitive Edition,74.0
Perfect World Entertainment,Darksiders II Deathinitive Edition,74.0
All in! Games,486,74.0
All in! Games,222,74.0
Paradox Interactive,Far Cry New Dawn,74.0
Phoenix Games,The Riftbreaker: Prologue,74.0
MinMax Games Ltd.,Space Rangers HD: A War Apart,74.0
Light Bringer Games inc.,Littlewood,74.0
Activision,VR Soccer '96,74.0
1C Game Studios,Iron Brigade,74.0
3 Sprockets,2DGameManias Taken,74.0
Back To Basics Gaming,CroNix,74.0
Back To Basics Gaming,Fate Seeker II,74.0
"LucasArts, Lucasfilm, Disney",SpyParty,74.0
Back To Basics Gaming,LEGO Batman: The Videogame,74.0
Nemesys Games,999,74.0
Back To Basics Gaming,MANDAGON,74.0
Zoink Games,Mahjong Pretty Manga Girls,74.0
Zombie Panic! Team,Ys Origin,74.0
a2z Interactive,Swag and Sorcery,74.0
Nyamyam,Rampart Tactics,74.0
Nyamyam,RAMS,74.0
2K,Escape again,74.0
Back To Basics Gaming,Startup Company,74.0
NukGames,PowerWash Simulator,74.0
Back To Basics Gaming,Sunless Skies: Sovereign Edition,74.0
3 Sprockets,24世纪后,74.0
"34BigThings srl, Digital Tribe",InMind VR,74.0
Activision,BoxCat,74.0
Nacon,Antisquad,74.0
ARTE France,Little Dog Bob,74.0
ARTE France,Little Devourers,74.0
ARTE France,Little Cube Trip,74.0
505 Games,Outcast - Second Contact,74.0
505 Games,Loco Parentis VR,74.0
NEXT Studios,Tribal Wars,74.0
NEXT Studios,Trident's Wake,74.0
NEXT Studios,Trillion: God of Destruction,74.0
"NEXT Studios, bilibili, META Publishing",Citizens of Earth,74.0
"NEXT Studios, bilibili, META Publishing",Citystate,74.0
"NEXT Studios, bilibili, META Publishing",Clash of the Monsters,74.0
"NEXT Studios, bilibili, META Publishing",Clash: Mutants Vs Pirates,74.0
"NEXT Studios, bilibili, META Publishing",Classic Sudoku,74.0
"NIS America, Inc.",Introvert Quest,74.0
Nacon,ANVIL,74.0
AGC,Drayt Empire,74.0
Fish Eagle,Eye of the Owl - Bosch VR,74.0
TripwireInt,Royal Crown,74.0
Crafting Legends,Dragon Age II,74.0
Gamegrustudio,Endless World Idle RPG,74.0
Ironward,X-Plane 11,74.0
Ironward,X-COM: Terror From the Deep,74.0
"Digixart, Ravenscourt",ROMANCE OF THE THREE KINGDOMS XIV,74.0
Io-Interactive A/S,Hostile Waters: Antaeus Rising,74.0
Cornfox & Brothers Ltd.,Beavers Be Dammed,74.0
SA Industry,Sid Meier’s Ace Patrol: Pacific Skies,74.0
Cornfox & Brothers Ltd.,Bee Simulator,74.0
Cornfox & Brothers Ltd.,Before We Leave,74.0
Digital Dreams Entertainment LLC,GameEllen,74.0
Digital Dreams Entertainment LLC,GAMEDOG,74.0
Toxic Games,Rayman Origins,74.0
Digerati,Geometry Arena,74.0
JForce Games,NBA 2K16,74.0
Digerati,Bambino Rally 3,74.0
Indie Game Group,HIS (Heroes In the Sky),74.0
SEGA,Easy Red,74.0
SEGA,Eclipse,74.0
Soldak Entertainment,Dimensional,74.0
Illusion Ray,LineVox 2: Forward to the Past,74.0
Illusion Ray,Lightless,74.0
Soldak Entertainment,Dimension Tripper Neptune: TOP NEP,74.0
Snowbird Games,FrostRunner,74.0
Iceberg Interactive,THE KNIGHT OF QUEEN,74.0
Gigantic Duck Games,Citalis,74.0
Snowbird Games,Friday the 13th: Killer Puzzle,74.0
Circle Five Publishing,Quadrilateral Cowboy,74.0
Spearhead Games,Ryse: Son of Rome,74.0
Kalypso Media,Red Risk,74.0
Two Tribes Publishing,Metaverse Construction Kit,74.0
Reverb Publishing,El Matador,74.0
EarthWork Games,Great Hero's Beard,74.0
Ubisoft,Boson X,74.0
Funcom,Dancing in the moonlight,74.0
Funcom,DancingReaper,74.0
Square Enix,Divinity: Original Sin (Classic),74.0
Capcom,Dogs of War Online,74.0
Ubisoft,Amazing Cultivation Simulator,74.0
THQ Nordic,Evan's Remains,74.0
THQ Nordic,Hangover,74.0
Square Enix,AI War 2,74.0
GSC World Publishing,破坏效应,74.0
Spooky Squid Games Inc.,Mystery Trackers: Nightsville Horror Collector's Edition,74.0
Spearhead Games,S.T.A.L.K.E.R.: Call of Pripyat,74.0
Spiral Summit Games,Content Creator's Internet Adventure,74.0
Fish Eagle,Explottens,74.0
Gaijin Games,Caster,74.0
THQ Nordic,Mist of the Dark,74.0
THQ Nordic,Nux,74.0
THQ Nordic,Nyctophilia,74.0
THQ Nordic,Nyheim,74.0
Chromatic Games,AntVentor,74.0
Spearhead Games,S.T.A.L.K.E.R.: Clear Sky,74.0
Chromatic Games,Anti Air,74.0
Chromatic Games,Antigraviator,74.0
Chromatic Games,Antirocketh,74.0
Snowbird Games,Freeman: Guerrilla Warfare,74.0
Die Gute Fabrik,Love Story: Letters from the Past,74.0
D'Avekki Studios Ltd,"A Fear Of Heights, And Other Things",74.0
Devolver Digital,Choppa,74.0
SNK CORPORATION,Midas Gold Plus,74.0
HypeTrain Digital,Assassin’s Creed Liberation HD,74.0
Team17,Generic Jumper,74.0
Team17,Generic Space Shooter,74.0
Daedalic Entertainment,Train Simulator: East Coast Main Line London-Peterborough Route Add-On,74.0
Daedalic Entertainment,Trainz Railroad Simulator 2019,74.0
Daedalic Entertainment,TramSim Vienna - The Tram Simulator,74.0
Daedalic Entertainment,Transient: Extended Edition,74.0
Devolver Digital,Drug Dealer Simulator: Free Sample,74.0
Sanctum Games,Fiesta Online NA,74.0
Scavengers Studio,Digger Online,74.0
ThankGame.com,Reign Of Kings,74.0
Dear Villagers,Abalyte,74.0
D'Avekki Studios Ltd,A dragon girl looks up at the endless sky,74.0
Dear Villagers,Abduction Bit,74.0
Dear Villagers,Ablepsia,74.0
Dear Villagers,Abode,74.0
Dear Villagers,Above - VR,74.0
Teotl Studios,"Once Bitten, Twice Dead!",74.0
Teotl Studios,Bounty Hunters,74.0
Devolver Digital,Choice of Robots,74.0
Haemimont Games,Gettysburg: Fields of Valor,74.0
Siege Camp,Gothic 3: Forsaken Gods Enhanced Edition,74.0
Senpai Studios,Beat Cop,74.0
Deli Interactive LLC,Wartales,74.0
Shangshixuan,Zombie Night Terror,74.0
Devolver Digital,Musaic Box,74.0
Devolver Digital,Muscle Magic,74.0
Devolver Digital,Museum Of Extravagance,74.0
"Good Shepherd Entertainment, Surefire.Games",Conspiracy!,74.0
Die Gute Fabrik,Love Stories: Sex and the Furry Titty,74.0
Snapshot Games Inc.,Children of the Nile: Enhanced Edition,74.0
Snapshot Games Inc.,Children of Silentown: Prologue,74.0
Iceberg Interactive,Gon' E-Choo!,74.0
Iceberg Interactive,Cu-Blit,74.0
SEGA,Unreal Gold,74.0
Devolver Digital,There Is No Game: Wrong Dimension,74.0
Iceberg Interactive,Arcane Maelstrom,74.0
Iceberg Interactive,Arcane Golf,74.0
Devolver Digital,There Is No Game: Jam Edition 2015,74.0
Good Shepherd Entertainment,Brocat: the B Game,74.0
DDNet Team,Distrust: Polar Survival,74.0
Good Shepherd Entertainment,Broken,74.0
DMM GAMES,Becoming,74.0
DMM GAMES,Becoming a Dandelion Spore,74.0
Good Shepherd Entertainment,Broken Banners,74.0
Devolver Digital,Teardown,74.0
Good Shepherd Entertainment,Fantastic Beasts and Where to Find Them VR Experience,74.0
Daedalic Entertainment,AVRACH RESURRECTION,74.0
Daedalic Entertainment,Aven Colony,74.0
The Quantum Astrophysicists Guild,Liveza: Death of the Earth,74.0
The Quantum Astrophysicists Guild,Little hidden city,74.0
The Quantum Astrophysicists Guild,LOGistICAL,74.0
Daedalic Entertainment,Dungreed,74.0
Daedalic Entertainment,Dwarfs - F2P,74.0
Reverb Publishing,Eidolon,74.0
Gaijin Games,ConnecTank,74.0
Kalypso Media,Red Solstice 2: Survivors,74.0
Keyue Game Studio,Walking Zombie 2,74.0
Bohemia Interactive,POSTAL 2,74.0
Bohemia Interactive,Prison Architect,74.0
Borealys Games,Dragon Hunter,74.0
Fatshark,Museum of Symmetry,74.0
Raw Fury,Multiwinia,74.0
Raw Fury,Murder Miners,74.0
Raw Fury,Murdered: Soul Suspect,74.0
Borealys Games,Dragon Kingdom War,74.0
Focus Home Interactive,Hocus Pocus,74.0
StalkerAlex.,SnowRunner,74.0
Kiddy,Energy Balance,74.0
EuroVideo Medien GmbH,Engram,74.0
Sweet Games,Mind Spheres,74.0
EuroVideo Medien GmbH,ENHANCE,74.0
Broken Arms Games,Abacus,74.0
Broken Arms Games,Abacus Finch,74.0
Broken Arms Games,aBANdon02,74.0
Square Enix,They Can't Stop All Of Us,74.0
Electronic Arts,Mist of the Undead,74.0
Square Enix,My Brother Rabbit,74.0
Kalypso Media Digital,Hoplegs,74.0
Kalypso Media Digital,HopHeaders,74.0
Redaster Studio,PRO EVOLUTION SOCCER 2018,74.0
Refract,Isle of Ewe,74.0
Fatshark,Museum of War,74.0
Stuck In Attic,1979 Invasion Earth,74.0
Ravenscourt,Hentai Babes - In Public,74.0
Ravenscourt,Hentai Babes - In Costume,74.0
Fish Eagle,Explosionade,74.0
"Fishing Cactus, PID Games",FATE,74.0
"Fishing Cactus, PID Games",FarSky,74.0
Victory Lap Games,Caveblazers,74.0
Fish Eagle,Explorer of Yggdrasil,74.0
Fish Eagle,Animals Memory: Horses,74.0
Vertigo Games,Round 99,74.0
Berzerk Studio,KUBOOM,74.0
LIMITED,The Shrouded Isle,74.0
Bethesda Softworks,FTL: Faster Than Light,74.0
Vantan Game Academy,TREE,74.0
"BitMonster, Inc.",Haydee,74.0
Kozhakov,POBEDA,74.0
Fellow Traveller,Bot Vice,74.0
Fellow Traveller,Borealis,74.0
RageSquid,Steampunk Graveyard,74.0
V Publishing,NEKOPARA Vol. 4,74.0
Fellow Traveller,Boreal Blade,74.0
Bluebutton Games,Prince of Persia: The Two Thrones,74.0
Bohemia Interactive,Blood Omen 2: Legacy of Kain,74.0
Stuck In Attic,1976 - Back to midway,74.0
Rat King Entertainment,Legion's Crawl 2,74.0
Rat King Entertainment,Legions At War,74.0
"CAPCOM Co., Ltd.",Dropzone,74.0
Stunlock Studios,Caesar 3,74.0
Retro Affect,Jumping Jax,74.0
Eastshade Studios,Airport Simulator 3: Day & Night,74.0
Ubisoft,Fort Defense,74.0
Frozenbyte,Tomb Joe,74.0
Kalypso Media Digital,Cyberia 2: Resurrection,74.0
Fruitbat Factory,Ice Cream Factory,74.0
Eastshade Studios,Airranger,74.0
Retro Affect,Jumping Joe! - Friends Edition,74.0
Kalypso Media Digital,Darker : Episode I,74.0
Systemic Reaction™,Shadowrun Chronicles - Boston Lockdown,74.0
Kalypso Media Digital,Cyrano Story,74.0
Kalypso Media Digital,Darkest Depths,74.0
Streum On Studio,Evil Inside - Prologue,73.0
Square Enix,Culina: Hands in the Kitchen,73.0
"Flow Fire Games, WhisperGames",Tales from Candlekeep: Tomb of Annihilation,73.0
Greens s.r.o.,FURIDASHI: Drift Cyber Sport,73.0
THQ Nordic,Devil May Cry 3 Special Edition,73.0
Square Enix,Cult of the Glitch King,73.0
No More Robots,Apocalypse: Party's Over,73.0
Team17,PRO EVOLUTION SOCCER 2018 LITE,73.0
Team17,Post Scriptum,73.0
Team17,Potion Craft: Alchemist Simulator,73.0
Team17,Primal Carnage: Extinction,73.0
PLAYISM,AccrO,73.0
PLAYISM,AccuRC 2,73.0
Edmund McMillen,MEMORIES OF MARS,73.0
Square Enix,CULT,73.0
Devolver Digital,Orcs Must Die! Unchained,73.0
Devolver Digital,SHENZHEN I/O,73.0
Good Shepherd Entertainment,Silence,73.0
Novarama,The Technomancer,73.0
tinyBuild,Railroad Tycoon 3,73.0
Fenix Fire Entertainment,PHAT STACKS,73.0
Novarama,The Terrible Old Man,73.0
Good Shepherd Entertainment,High Profits,73.0
Square Enix,Broken Ground,73.0
No More Robots,Apocalyptic Adventure: Episode 1,73.0
No More Robots,Apocryph: an old-school shooter,73.0
Good Shepherd Entertainment,Sign of Silence,73.0
Good Shepherd Entertainment,Sierra Ops - Space Strategy Visual Novel,73.0
tinyBuild,Shank 2,73.0
Good Shepherd Entertainment,Siege Survival: Gloria Victis,73.0
Strategy First,Lost In 80s II,73.0
Zen Studios,welcome to heaven,73.0
Dry Cactus,Shadowrun: Dragonfall - Director's Cut,73.0
ALPixel Games,Mushroom Challenge,73.0
Team17 Digital Ltd,What Never Was,73.0
Nepos Games,Anime Gas Station,73.0
Fish Factory Games,Draw a Stickman: EPIC,73.0
Nepos Games,Anime girl Or Bottle?,73.0
HandyGames,Jacob,73.0
Shining Rock Software LLC,Middle-earth: Shadow of War,73.0
Shining Rock Software LLC,Mirror,73.0
Shining Rock Software LLC,Mirror 2: Project X,73.0
10tons Ltd,Matter,73.0
Sigma Team Inc.,Escape the Game,73.0
10tons Ltd,Mausoleum of the Medusa,73.0
HFM Games,Hexcells,73.0
E-Line Media,Observer: System Redux,73.0
Ninja Kiwi,Cinderella Phenomenon - Otome/Visual Novel,73.0
ALPixel Games,Mushroom Cats 2,73.0
"worm club, SUPERHOT PRESENTS",Blasting Agent: Ultimate Edition,73.0
"worm club, SUPERHOT PRESENTS",Mighty Switch Force! Hyper Drive Edition,73.0
Fireshine Games,Farmer Pug Dash,73.0
Fireshine Games,DUELEUM,73.0
Fireproof Games,The Longest Journey,73.0
Dry Cactus,Shadowrun: Hong Kong - Extended Edition,73.0
MuHa Games,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,73.0
MuHa Games,Narcosis,73.0
MuHa Games,Natural Instincts,73.0
Fireproof Games,THE LONGING,73.0
Xbox Game Studios,Star Trek: Bridge Crew,73.0
Devolver Digital,Dinogotchi,73.0
A Crowd of Monsters,Ungeon,73.0
Good Shepherd Entertainment,Chicago 1930 : The Prohibition,73.0
PLAYISM,Ace Campus Club,73.0
Good Shepherd Entertainment,Civil War II,73.0
Over The Moon,Blacksmith of the Sand Kingdom,73.0
Futuremark,Bowman VS Zombies,73.0
Gamious,Total War: ROME REMASTERED,73.0
Square Enix,Truberbrook / Trüberbrook,73.0
TEAM HORAY,Etherlords II,73.0
THQ Nordic,Megamagic: Wizards of the Neon Age,73.0
Gamious,Total Annihilation,73.0
Gamious,Total Tank Simulator,73.0
THQ Nordic,MegaFactory Titan,73.0
Gearbox Publishing,Alice Lorange Adventures Season 2,73.0
Frictional Games,Causality,73.0
Gearbox Publishing,Disposable Heroes,73.0
Forever Entertainment S. A.,The Universim,73.0
Eugen Systems,Hybrid Animals,73.0
Eugen Systems,Hyper Dash,73.0
Eugen Systems,Hyper Fighters,73.0
Subworld,Crash Drive 2,73.0
"THQ, Disney",Alienzix,73.0
Electronic Arts,NightSky,73.0
Good Shepherd Entertainment,Chess Knights: Viking Lands,73.0
Frogwares,Intern Pursuit Game,73.0
Zen Studios,Weird West,73.0
Dolphin Barn Incorporated,DYSMANTLE,73.0
Frogwares,Mushroom Heroes,73.0
Dolphin Barn Incorporated,Dustforce DX,73.0
Frogwares,Internal Storm,73.0
Disney,Alina of the Arena,73.0
Gamepires,Red Death,73.0
Frictional Games,Cavern Kings,73.0
Nexile,Knights of Pen and Paper +1 Edition,73.0
Dolphin Barn Incorporated,Dwarfs!?,73.0
Games Operators,永远消失的幻想乡 ～ The Disappearing of Gensokyo,73.0
Games Operators,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),73.0
Games Operators,电竞俱乐部/ESports Club,73.0
DigitalDNA Games LLC,Contradiction - Spot The Liar!,73.0
Team17 Digital Ltd,X: Beyond the Frontier,73.0
Double Damage Games,Resident Evil: Operation Raccoon City,73.0
Subatomic Studios LLC,BLADENET,73.0
Edmund McMillen,Memorize V,73.0
1C Entertainment,There is No GreenDam,73.0
SmashGames,Masked Shooters 2,73.0
Devolver Digital,War of the Human Tanks - Limited Operations,73.0
GSC World Publishing,牧剑：化神书(Tale Of Swords: Mystery Scroll),73.0
tinyBuild,Radiator 2: Anniversary Edition,73.0
Double Fine Productions,SEUM: Speedrunners from Hell,73.0
astragon Entertainment,Super Shoot Owl,73.0
Digerati,Alchemia,73.0
bilibili,Exanima,73.0
Double Fine Productions,Settlement Survival,73.0
Edmund McMillen,Memento Mori,73.0
Futuremark,Bowmen,73.0
tinyBuild,Ragnarok Clicker,73.0
Over The Moon,Blacksmith Legends: Prologue,73.0
Snail Games USA,Desolate Wastes: Vendor Chronicles,73.0
1C Entertainment,Them's Fightin' Herds,73.0
Egosoft,WORLD OF HORROR,73.0
Focus Home Interactive,GundeadliGne,73.0
Egosoft,World War III: Black Gold,73.0
Tate Multimedia,Labyronia RPG 2,73.0
2K,Marie's Room,73.0
Double Fine Productions,Cogs,73.0
"Sneaky Yak Studio, WhisperGames",Kitaria Fables,73.0
"Sneaky Yak Studio, WhisperGames",Kitchen Simulator 2015,73.0
Egosoft,World of Soccer,73.0
Focus Home Interactive,Gunman And The Witch,73.0
Focus Home Interactive,Hard Reset Extended Edition,73.0
Nepos Games,Anime Girl Or Boy?,73.0
Double Fine Productions,CoH 2 - The Western Front Armies: Oberkommando West,73.0
Double Fine Productions,Alveari,73.0
Double Fine Productions,Alvastia Chronicles,73.0
Team17 Digital Ltd,Whispering Willows,73.0
Santa Ragione,An Oath to the Stars,73.0
Activision,Command & Conquer 4: Tiberian Twilight,73.0
Two Tribes Publishing,Epic Manager - Create Your Own Adventuring Agency!,73.0
Warner Bros. Interactive Entertainment,The Horus Heresy: Legions,73.0
Armor Games Studios,Must Dash Amigos,73.0
Capcom,Treasure Hunter Claire,73.0
KHB-Soft,Just Hero,73.0
Mastertronic,Rail Adventures - VR Tech Demo,73.0
Mastertronic,Raidfield 2,73.0
Artifex Mundi,Angry Rock,73.0
Artifex Mundi,Angry Rocketeer Frenzy,73.0
"Massive Damage, Inc.",Circle Empires Tactics,73.0
"Massive Damage, Inc.",Circa Infinity,73.0
"Massive Damage, Inc.",Cinemaware Anthology: 1986-1991,73.0
"Massive Damage, Inc.",Cinders,73.0
Aspyr,Warhammer: Chaos And Conquest,73.0
Aspyr,Warlock 2: The Exiled,73.0
KK Game Studio,Grimm's Hollow,73.0
Capcom,DOOM 64,73.0
Assemble Entertainment,Telophase,73.0
Assemble Entertainment,Temple Escape,73.0
Reverb Triple XP,79 Pompeii,73.0
"Retroism, Enlight Software Limited",BRG's The Stonecutter,73.0
CI Games,Mainframe Defenders,73.0
Two Tribes Publishing,Epic Snails,73.0
Merge Games,Ally Gory: The Great Mushroom Hunt,73.0
Pixelated Milk,Aurrery,73.0
Activision,Deadly Animal Duel,73.0
Consumer Softproducts,Death and Taxes,73.0
"Cold Iron Studios, Focus Entertainment",Betrayer,73.0
Coffee Stain Publishing,Life is Strange 2,73.0
Coffee Stain Publishing,Life is Strange - Episode 1,73.0
Rooster Teeth Games,Sands of Fire,73.0
Iron Galaxy,Allan,73.0
MicroProse Software,Hellbound: Survival Mode,73.0
Chucklefish,Nanotale - Typing Chronicles,73.0
Chucklefish,Nanomedix Inc,73.0
Chucklefish,NANOCELLS - Mission: Back Home,73.0
"Arcen Games, LLC",Penny Arcade's On the Rain-Slick Precipice of Darkness 4,73.0
WaterMelon,Arrow Tourney,73.0
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",LuckCatchers,73.0
Chongming Studio,ZRoll,73.0
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",LYNE,73.0
Pearl Abyss,SCP: Secret Laboratory,73.0
Pearl Abyss,Scrap Mechanic,73.0
Pearl Abyss,Sea of Thieves,73.0
Pearl Abyss,Sekiro: Shadows Die Twice - GOTY Edition,73.0
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",LUFTRAUSERS,73.0
Merge Games,Almazy,73.0
Pixelated Milk,AUSSIE BATTLER TANKS CHRISTMAS FUN,73.0
Pixelated Milk,Aurum Kings,73.0
Instant Kingdom,Vortex Attack: ボルテックスアタック,73.0
Bohemia Interactive,L.A. Noire,73.0
Bohemia Interactive,Kingdom Come: Deliverance,73.0
"WSS playground, PLAYISM",Timberman VS,73.0
"WSS playground, PLAYISM",Rhythm Doctor,73.0
Klabater,The Celtos,73.0
Klabater,The Challenge,73.0
"Playnet, Inc.",Without Within,73.0
Playsaurus,BLACKJACK and WAIFUS,73.0
Playsaurus,BlackHoopS,73.0
WB Games,Lost Saga NA,73.0
Vagabond Dog,As Far As The Eye,73.0
Vagabond Dog,Ascension to the Throne,73.0
Valko Game Studios,Life is Feudal: Forest Village,73.0
L2 Games,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,73.0
Bethesda Softworks,Earth 2140,73.0
Pocketpair,Dead Realm,73.0
Larian Studios,Charlie's Adventure,73.0
Prime Matter,Sands of Salzaar,73.0
Last Level,Olympic Games Tokyo 2020 – The Official Video Game,73.0
Vertigo Gaming Inc.,Dark Shadows - Army of Evil,73.0
Virtual Basement LLC,The House of Da Vinci,73.0
Powerhoof,Deadly Premonition: The Director's Cut,73.0
"Playnet, Inc.",Witch It,73.0
"Playnet, Inc.",Witch Hunt,73.0
Pixelated Milk,Aussie Sports VR 2016,73.0
"Playnet, Inc.",Wingspan,73.0
"Warner Bros. Games, Warner Bros. Interactive Entertainment",Fallout Tactics: Brotherhood of Steel,73.0
"CAPCOM Co., Ltd.",Robot Roller-Derby Disco Dodgeball,73.0
Planetary Annihilation Inc,"Precipice of Darkness, Episode One",73.0
Remedy Entertainment,Yet Another Zombie Defense,73.0
Wadjet Eye Games,Treasures of the Ancients: Egypt,73.0
Wadjet Eye Games,STAR WARS: Rebel Assault I + II,73.0
Red Thread Games,Viking Squad,73.0
Red Thread Games,Viking Brothers,73.0
BANDAI NAMCO Entertainment,Edna & Harvey: Harvey's New Eyes,73.0
Kasedo Games,Dark Fall: Lost Souls,73.0
Kasedo Games,Dark Fall: The Journal,73.0
Brilliant Game Studios,Trailer Park Boys: Greasy Money,73.0
BANDAI NAMCO Entertainment,PARTICLE MACE,73.0
Brawsome,For Rent: Haunted House,73.0
Brawsome,For Inco,73.0
Ludosity,Steel Rain,73.0
Ludosity,STEEL STRIDER,73.0
BANDAI NAMCO Entertainment,Parkitect,73.0
Ultra Runaway Games,ArkanoidSmoking,73.0
Ultra Runaway Games,Arkasha,73.0
Ultra Runaway Games,Arkham Nightmares,73.0
Instant Kingdom,Vortex: The Gateway,73.0
Merge Games,Alma,73.0
ScottGames,Gem Wizards Tactics,73.0
DANGEN Entertainment,Elven Legacy: Magic,73.0
Iceberg Interactive,Hiveswap Friendsim,73.0
Paradox Interactive,Passengers Of Execution,73.0
The Binary Mill,Hidden Build Top-Down 3D,73.0
Paradox Interactive,100 hidden cats,73.0
SEGA,Ultimate Fishing Simulator,73.0
"Activision, Aspyr (Mac)",Slay the Spire,73.0
DANGEN Entertainment,Elta7,73.0
The Binary Mill,Hidden Animals: Photo Hunt. Seek and Find Objects Game,73.0
"Parabole, Ravenscourt",Deported: Drain the Swamp,73.0
XSEED Games,Princess Isabella,73.0
XSEED Games,Princess Isabella - Return of the Curse,73.0
DANGEN Entertainment,Elteria Hunter,73.0
Those Awesome Guys,Moon Hunters,73.0
Deep Silver,DLC Quest,73.0
Those Awesome Guys,Monument,73.0
The Game Bakers,CLASSIC TANKS 2020,73.0
"ION LANDS, Maple Whispering Limited",Crush Online,73.0
"ION LANDS, Maple Whispering Limited",Crusaders of the Lost Idols,73.0
"ION LANDS, Maple Whispering Limited",Cruel Arena,73.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Backbone: Prologue,73.0
"The Molasses Flood, Curve Games",Make America Great Again: The Trump Presidency,73.0
"The Molasses Flood, Curve Games",Making History II: The War of the World,73.0
Helvetica Scenario,First Bite,73.0
Helvetica Scenario,First Class Escape 2: Head in the Clouds,73.0
Adult Swim Games,Drift Zone,73.0
Santa Ragione,An Occasional Dream,73.0
HeR Interactive,Gems,73.0
"Parabole, Ravenscourt",Depanneur Nocturne,73.0
Iceberg Interactive,Hollowed,73.0
The Game Bakers,Classic Racers,73.0
Humble Games,Gwan Moon High School : The Ghost Gate,73.0
Instant Kingdom,Voodoo Whisperer Curse of a Legend,73.0
Wolfire Games,Pixel Piracy,73.0
Humble Games,Gutwhale,73.0
"Crackshell, Surefire.Games",Home Behind 2,73.0
"Topware Interactive, ACE",Evoland 2,73.0
Humble Games,Gutting Goblins!,73.0
Team17 Digital Ltd,X: Tension,73.0
Toplitz Productions,Metal War Online: Retribution,73.0
Iceberg Interactive,HoloBall,73.0
The Game Bakers,Clash of Irons,73.0
Toplitz Productions,METAL SLUG X,73.0
IndieGala,Chernobylite,73.0
Toplitz Productions,Metal Waltz: Anime tank girls,73.0
Team17 Digital Ltd,rooMaze,73.0
SEGA,Metrico+,73.0
Curve Games,The Chosen RPG,73.0
SNK CORPORATION,The Hat Man: Shadow Ward,73.0
CyberLight Game Studio,Carcassonne - Tiles & Tactics,73.0
Cyanide Studios,Crash Drive 3,73.0
SEGA,Space Haven,73.0
Cyanide Studios,Crafting Idle Clicker,73.0
Monster Bath Studios Inc.,Saints Row IV - Reverse Cosplay Pack,73.0
SEGA,Metonymy,73.0
Ubisoft,Unrailed!,72.0
Raw Fury,Smugglers 5: Invasion,72.0
Samurai Punk,JungleShoot,72.0
Suncrash,Day Island,72.0
Raw Fury,Smooth Operators,72.0
Team17,Spark the Electric Jester,72.0
Suncrash,DCL - The Game,72.0
"The Arcade Crew, Maple Whispering Limited",The Stranger VR,72.0
Team17,Sparkle Unleashed,72.0
Stygian Software,Penimorta,72.0
"The Arcade Crew, Maple Whispering Limited",The Subject,72.0
Suncrash,Days Under Custody,72.0
Stygian Software,Perceptions of the Dead,72.0
"The Arcade Crew, Maple Whispering Limited",The Sun and Moon,72.0
Team17,Sparkle 2,72.0
Samurai Punk,Junglex,72.0
OhNoo Studio,Nemesis of the Roman Empire,72.0
Sandbox Interactive GmbH,Hunt: Showdown,72.0
Puny Human,Conflict Desert Storm,72.0
Positech Games,To The Capital,72.0
Positech Games,To the Core,72.0
Positech Games,Toadled,72.0
Positech Games,Chaos Combat Chess,72.0
艺龙游戏,Zeno Clash,72.0
yfyx games,Russian Life Simulator,72.0
Viva Media,3.04,72.0
Nkidu Games Inc.,DUNGEON OF NAZARICK,72.0
Nkidu Games Inc.,Dungeon of Eyden,72.0
Viva Media Inc,4Team,72.0
ScottGames,GemCraft - Chasing Shadows,72.0
Team17 Digital Ltd,Numantia,72.0
Team17 Digital Ltd,Num One: Revised Edition,72.0
Positech Games,Chaos Galaxy,72.0
Versus Evil,Escape From Tethys,72.0
Sigma Team Inc.,CPU Invaders,72.0
Silver Dollar Games,Paradise Killer,72.0
RUST LTD.,Hyperdimension Neptunia Re;Birth2: Sisters Generation,72.0
Team17 Digital Ltd,Ascii the Brave Cat,72.0
Team17 Digital Ltd,ASCII Attack,72.0
Temple Gates Games,War Machines: Free to Play,72.0
Stress Level Zero,CLANNAD,72.0
Stress Level Zero,City of Chains,72.0
Stress Level Zero,CityBattle | Virtual Earth,72.0
Temple Gates Games,War Mongrels,72.0
Temple Gates Games,War of Omens Card Game,72.0
Survios,Devils & Demons,72.0
inbetweengames,Chesster,72.0
Ubisoft,Ostriv,72.0
Tuxedo Labs,Tesla Effect: A Tex Murphy Adventure,72.0
