Publishers,Game,Metascore
Rockstar Games,Celeste,87.0
Valve,Creative Destruction,87.0
Simogo,Pound of Ground,87.0
Simogo,Potion Explosion,87.0
"Thekla, Inc.",The Settlers Online,87.0
Schell Games,One Hand Clapping,87.0
WanadevStudio,Atelier Tia,87.0
Square Enix,Neon Outlast,87.0
Ubisoft,Project Zomboid,87.0
Valve,Business Tour - Board Game with Online Multiplayer,87.0
Kitfox Games,Human Sacrifice,87.0
Matt Makes Games Inc.,Oh My Gore!,87.0
RobTop Games,BeamNG.drive,87.0
PlayStation PC LLC,Call of Duty: WWII,87.0
Paradox Interactive,Assassin’s Creed III,87.0
Coffee Stain Publishing,Transformice,86.0
Paradox Interactive,Run or Die,86.0
ZapHop Games,American University Life ~Welcome Week!~,86.0
Runic Games,Subnautica: Below Zero,86.0
Sam Barlow,Lethal League,86.0
Paradox Interactive,Run Zeus Run,86.0
The Behemoth,Ori and the Will of the Wisps,86.0
Daniel Mullins Games,Project Eagle: A 3D Interactive Mars Base,86.0
Gearbox Publishing,Hydrophobia: Prophecy,86.0
BANDAI NAMCO Entertainment,Shadow of the Tomb Raider: Definitive Edition,86.0
Gearbox Publishing,Hyper color ball,86.0
Warner Bros. Interactive Entertainment,Golf It!,86.0
SEGA,Alchemyland,86.0
Klei Entertainment,House Flipper,86.0
SEGA,Anodyne,86.0
Big Sugar,Oniria Crimes,86.0
"Assemble Entertainment, WhisperGames, Mayflower Entertainment",Tribes of Midgard - Open Beta,86.0
"Assemble Entertainment, WhisperGames, Mayflower Entertainment",Tribloos 2,86.0
Deep Silver,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,86.0
Deep Silver,My Time At Portia,86.0
Binary Haze Interactive,Faerie Solitaire,86.0
Playdead,Dead Space,86.0
Deep Silver,Five Nights at Freddy's,86.0
SEGA,Anomaly Defenders,86.0
Capcom,STAR WARS Battlefront,86.0
Wargaming.net,Obscuritas,86.0
"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment",Fox Hime,86.0
"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment",Fortune Summoners,86.0
"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment",FortressCraft Evolved!,86.0
Binary Haze Interactive,Fahrenheit: Indigo Prophecy Remastered,86.0
Klei Entertainment,How to Survive,86.0
Grinding Gear Games,Z1 Battle Royale,86.0
"LucasArts, Lucasfilm, Disney",The Lost Mythologies,86.0
Good Shepherd Entertainment,Ame no Marginal -Rain Marginal-,86.0
Sam Barlow,Little Inferno,86.0
Digerati,Envoy of Nezphere,86.0
Sam Barlow,Little Nightmares II,86.0
Ubisoft,Battlefield 4,86.0
Team Cherry,DARK SOULS: REMASTERED,86.0
"Lucasfilm, Disney",Don't Die!,86.0
"Standing Stone Games, LLC",Space Pilgrim Episode I: Alpha Centauri,86.0
Stunlock Studios,PAYDAY The Heist,86.0
"Standing Stone Games, LLC",SpaceChem,86.0
Grinding Gear Games,World of Warships,86.0
BANDAI NAMCO Entertainment,太吾绘卷 The Scroll Of Taiwu,86.0
"Standing Stone Games, LLC",Spellbreak,86.0
Studio MDHR Entertainment Inc.,The Sims 3,86.0
tinyBuild,QUAKE,86.0
Slitherine Ltd.,Arkaia: The Enigmatic Isle,86.0
Playdead,ENDLESS Legend,86.0
"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",Monaco: What's Yours Is Mine,86.0
Grinding Gear Games,MEDIEVAL KNIGHTMARE,86.0
Ubisoft,Layers of Fear,86.0
ZapHop Games,American VR Coasters,86.0
DANGEN Entertainment,Super Life (RPG),86.0
"SEGA, Feral Interactive",The Elder Scrolls III: Morrowind Game of the Year Edition,86.0
Surefire.Games,Mecha-Tokyo Rush,86.0
Valve,Cossacks 3,86.0
Electronic Arts,Street Fighter V,86.0
My Little Planet Ltd,Home Design 3D,86.0
CCP,AudioSurf,86.0
Electronic Arts,Drug Dealer Simulator,86.0
"SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",The Culling,86.0
CD PROJEKT RED,Heroes & Generals,86.0
Square Enix,Survivalist,86.0
Electronic Arts,GRID Autosport,86.0
Electronic Arts,GROUND BRANCH,86.0
Bethesda Softworks,Warhammer: Vermintide 2,86.0
"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",Vampire Survivors,86.0
Rockstar Games,Farming Simulator 19,86.0
Square Enix,Digimon Masters Online,86.0
Drool,New Ice York,86.0
Supergiant Games,Mitos.is: The Game,86.0
Supergiant Games,Mirror's Edge,86.0
Supergiant Games,MONSTER HUNTER RISE,86.0
Surefire.Games,MechaGore,86.0
Ubisoft,Dictators:No Peace Countryballs,86.0
Bethesda Softworks,World of Tanks,86.0
Electronic Arts,"Papers, Please",86.0
THQ Nordic,Air Missions: HIND,86.0
Electronic Arts,Red Dead Online,86.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Teeworlds,86.0
Surefire.Games,Mechaguard,86.0
DANGEN Entertainment,Super Ledgehop: Double Laser,86.0
PLAYISM,The Golf Club,86.0
Surefire.Games,Mechanic 8230,86.0
Edmund McMillen,Shakes and Fidget,86.0
DANGEN Entertainment,Super Life of Pixel,86.0
Frozenbyte,The Isle,86.0
"SEGA, Feral Interactive",The Darkness II,86.0
Xbox Game Studios,Hellblade: Senua's Sacrifice,86.0
Fullbright,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,86.0
Fullbright,Halo Wars: Definitive Edition,86.0
2K,Crisis in the Kremlin,86.0
Xbox Game Studios,HELLDIVERS Dive Harder Edition,86.0
Electronic Arts,Spelunky,86.0
"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",VRChat,86.0
Activision,Serious Sam 3: BFE,86.0
Bethesda Softworks,World of Guns: Gun Disassembly,86.0
"CAPCOM Co., Ltd.",Ghostrunner,86.0
Double Fine Productions,Grimoire: Manastorm,86.0
Out of the Park Developments,Are You Alone?,86.0
"Square Enix, Feral Interactive (Mac)",Gunfire Reborn,86.0
"CD PROJEKT RED, 1C-SoftClub",STAR WARS Empire at War - Gold Pack,86.0
Resolution Games,Umfend,86.0
"Spike Chunsoft Co., Ltd.",SERIES MAKERS TYCOON,86.0
Double Fine Productions,LEGO Marvel Super Heroes,86.0
"CD PROJEKT RED, 1C-SoftClub",STAR WARS Battlefront II,86.0
Frictional Games,Jurassic World Evolution,86.0
Electronic Arts,Melvor Idle,86.0
Bethesda Softworks,Fog Of War - Free Edition,86.0
1C Entertainment,Tallowmere,86.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",My House,86.0
"KOEI TECMO GAMES CO., LTD.",Orbital Gear,86.0
Out of the Park Developments,Area 51,86.0
Out of the Park Developments,AREA 4643,86.0
"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",Modern Combat Versus,86.0
Square Enix,eSports Legend,86.0
Ubisoft,Last Man Standing,86.0
"Oddworld Inhabitants, Inc.",Between the Stars,86.0
Out of the Park Developments,ARE YOU READY VR,86.0
Resolution Games,Umbrella,86.0
"Oddworld Inhabitants, Inc.",Beyond a Steel Sky,86.0
WayForward,FUCK OR DIE,85.0
2K,Resident Evil Village,85.0
Cellar Door Games,SUNLESS SEA,85.0
Team17,Horizon Zero Dawn Complete Edition,85.0
Cellar Door Games,Styx: Master of Shadows,85.0
Autumn Games,Overcast - Walden and the Werewolf,85.0
PlatinumGames Inc.,Labirinto 2,85.0
Electronic Arts,Curse of the Dead Gods,85.0
Square Enix,KINGDOMS,85.0
Cellar Door Games,Sunset Overdrive,85.0
Devolver Digital,First Class Trouble,85.0
Coatsink,Hour of the Snake,85.0
"Codemasters, Electronic Arts",Aragami,85.0
Focus Entertainment,Deponia,85.0
Square Enix,Kingspray Graffiti VR,85.0
Frontier Developments,Antichamber,85.0
3909,HuniePop,85.0
Daybreak Game Company,Infestation: Survivor Stories 2020,85.0
3909,Idle Champions of the Forgotten Realms,85.0
Paradox Interactive,theHunter Classic,85.0
Frictional Games,Just Cause 2,85.0
Image & Form Games,Hunter's Arena: Legends,85.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",TERA - Action MMORPG,85.0
Ronimo Games,METAL GEAR SOLID V: THE PHANTOM PAIN,85.0
Frictional Games,Just Cause 2: Multiplayer Mod,85.0
Cellar Door Games,Project Zero Deaths,85.0
Finji,Not Without My Poop,85.0
Devolver Digital,Hector: Badge of Carnage - Full Series,85.0
Finji,Notruf 112 - Die Feuerwehr Simulation 2: Showroom,85.0
Cellar Door Games,Project Rhombus,85.0
Electronic Arts,Kingdom: The Far Reaches,85.0
Electronic Arts,King's Quest Collection,85.0
Electronic Arts,Gems of War - Puzzle RPG,85.0
Coatsink,Hour Night,85.0
Phoenix Online Publishing,Blindia,85.0
Image & Form Games,Hunting Unlimited 2010,85.0
"2K, Missing Link Games",Project Winter,85.0
Electronic Arts,King's Bounty II,85.0
Bohemia Interactive,Kerbal Space Program,85.0
Deep Silver,NARUTO TO BORUTO: SHINOBI STRIKER,85.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",9 Clues 2: The Ward,85.0
CD PROJEKT RED,The Testament of Sherlock Holmes,85.0
HeR Interactive,Gemini,85.0
Stardock Entertainment,Ori and the Blind Forest,85.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Insurgency: Sandstorm,85.0
505 Games,Dark Elf,85.0
Crowbar Collective,Pummel Party,85.0
Cellar Door Games,Project Senko,85.0
